"","V1","V2","V3"
"result.512",115046,0.85,0.95
"result.513",115058,0.8,0.95
"result.514",115084,0.45,0.7
"result.515",115280,0.6,0.75
"result.516",115281,0.75,0.8
"result.517",116276,0.75,0.9
"result.518",116452,0.75,0.8
"result.519",116738,0.9,0.95
"result.520",116791,0.7,0.85
"result.521",116854,0.8,0.95
"result.522",116856,0.8,0.85
"result.523",117092,0.65,0.8
"result.524",117178,0.7,0.85
"result.525",117228,0.8,0.85
"result.526",117417,0.8,0.9
"result.527",117443,0.75,0.8
"result.528",117746,0.7,0.85
"result.529",118112,0.65,0.85
"result.530",118114,0.75,0.9
"result.531",118189,0.75,0.85
"result.532",118277,0.75,0.85
"result.533",118279,0.85,0.95
"result.534",118282,0.85,0.95
"result.535",118444,0.7,0.8
"result.536",118632,0.8,0.9
"result.537",118890,0.55,0.8
"result.538",119027,0.8,0.95
"result.539",119500,0.7,0.75
"result.540",119667,0.7,0.85
"result.541",119697,0.85,0.9
"result.542",119700,0.85,0.9
"result.543",119884,0.85,0.9
"result.544",119913,0.8,0.9
"result.545",120013,0.85,0.95
"result.546",120019,0.75,0.9
"result.547",120110,0.65,0.85
"result.548",120288,0.85,0.9
"result.549",120793,0.75,0.85
"result.550",121146,0.8,0.9
"result.551",121501,0.8,0.9
"result.552",121648,0.6,0.9
"result.553",121661,0.85,0.9
"result.554",121799,0.6,0.85
"result.555",122093,0.65,0.85
"result.556",122109,0.6,0.85
"result.557",122506,0.85,0.95
"result.558",122675,0.85,0.95
"result.559",122803,0.9,0.95
"result.560",123016,0.8,0.95
"result.561",123568,0.8,0.9
"result.562",123977,0.8,0.9
"result.563",124239,0.9,0.95
"result.564",124545,0.7,0.9
"result.565",124739,0.75,0.85
"result.566",125056,0.65,0.85
"result.567",125357,0.75,0.85
"result.568",125598,0.85,0.95
"result.569",125904,0.85,0.9
"result.570",126087,0.6,0.85
"result.571",126199,0.5,0.8
"result.572",126929,0.85,0.9
"result.573",127127,0.75,0.9
"result.574",128458,0.75,0.9
"result.575",128605,0.8,0.9
"result.576",128986,0.9,0.95
"result.577",129007,0.8,0.9
"result.578",129157,0.8,0.9
"result.579",129852,0.55,0.85
"result.580",130029,0.55,0.85
"result.581",130323,0.7,0.9
"result.582",130926,0.75,0.9
"result.583",131640,0.65,0.85
"result.584",131715,0.85,0.85
"result.585",131748,0.45,0.85
"result.586",131785,0.4,0.75
"result.587",131860,0.9,0.95
"result.588",132178,0.85,0.9
"result.589",132324,0.9,0.9
"result.590",132342,0.85,0.9
"result.591",132521,0.75,0.9
"result.592",132523,0.9,0.9
"result.593",132525,0.9,0.95
"result.594",132843,0.8,0.95
"result.595",132967,0.9,0.95
"result.596",133028,0.5,0.7
"result.597",133120,0.9,0.95
"result.598",133154,0.45,0.75
"result.599",133272,0.75,0.9
"result.600",133302,0.8,0.85
"result.601",133335,0.45,0.85
"result.602",133437,0.9,0.95
"result.603",133498,0.45,0.8
"result.604",133516,0.45,0.85
"result.605",133725,0.85,0.95
"result.606",134786,0.8,0.95
"result.607",134949,0.8,0.95
"result.608",135251,0.75,0.9
"result.609",135633,0.7,0.9
"result.610",135784,0.9,0.95
"result.611",135980,0.85,0.95
"result.612",136096,0.9,0.95
"result.613",136426,0.85,0.95
"result.614",136602,0.65,0.85
"result.615",137201,0.8,0.95
"result.616",137419,0.9,0.95
"result.617",138008,0.65,0.8
"result.618",138027,0.55,0.7
"result.619",138028,NA,0.65
"result.620",138141,0.8,0.9
"result.621",138522,0.5,0.8
"result.622",138671,0.7,0.9
"result.623",138682,0.65,0.85
"result.624",138824,0.7,0.9
"result.625",138841,0.75,0.9
"result.626",139309,0.85,0.95
"result.627",139311,0.9,0.95
"result.628",139393,0.8,0.85
"result.629",139569,0.55,0.8
"result.630",139710,0.9,0.95
"result.631",140048,0.9,0.95
"result.632",140307,0.7,0.9
"result.633",140671,0.65,0.85
"result.634",140876,0.65,0.85
"result.635",140884,0.6,0.8
"result.636",140930,0.45,0.8
"result.637",140935,0.6,0.85
"result.638",141021,0.85,0.95
"result.639",141067,0.85,0.95
"result.640",141092,0.6,0.8
"result.641",141222,0.9,0.95
"result.642",141254,0.9,0.9
"result.643",141467,0.65,0.85
"result.644",142137,0.8,0.9
"result.645",143512,0.7,0.9
"result.646",143972,0.7,0.9
"result.647",144222,0.85,0.95
"result.648",144520,0.55,0.75
"result.649",144714,0.7,0.85
"result.650",144736,0.85,0.9
"result.651",144774,0.45,0.85
"result.652",144989,0.7,0.9
"result.653",145018,0.55,0.75
"result.654",145064,0.7,0.9
"result.655",145213,0.4,0.55
"result.656",145456,0.65,0.9
"result.657",145702,0.75,0.9
"result.658",145774,0.55,0.8
"result.659",145902,0.85,0.95
"result.660",146153,0.75,0.95
"result.661",146411,0.9,0.95
"result.662",146621,0.85,0.95
"result.663",146629,0.85,0.95
"result.664",146647,0.8,0.95
"result.665",146858,0.85,0.95
"result.666",146862,0.85,0.95
"result.667",147111,0.8,0.95
"result.668",147327,0.85,0.95
"result.669",147361,0.75,0.9
"result.670",147407,0.45,0.85
"result.671",147599,0.75,0.9
"result.672",148063,0.8,0.95
"result.673",148064,0.85,0.95
"result.674",148506,0.85,0.95
"result.675",148987,0.55,0.9
"result.676",149014,0.45,0.85
"result.677",149015,0.45,0.85
"result.678",149157,0.65,0.95
"result.679",149182,0.75,0.9
"result.680",149202,0.55,0.9
"result.681",149234,0.55,0.85
"result.682",149391,0.8,0.9
"result.683",149661,0.45,0.85
"result.684",149865,0.65,0.8
"result.685",151194,0.6,0.85
"result.686",151211,0.55,0.9
"result.687",151242,0.45,0.85
"result.688",151502,NA,0.75
"result.689",151744,0.55,0.85
"result.690",152248,0.85,0.95
"result.691",152254,0.8,0.9
"result.692",152282,0.55,0.85
"result.693",152307,0.6,0.8
"result.694",152545,0.55,0.9
"result.695",152730,0.6,0.9
"result.696",152746,0.85,0.95
"result.697",152791,0.55,0.9
"result.698",152966,0.75,0.9
"result.699",153010,0.5,0.8
"result.700",153186,0.85,0.95
"result.701",153210,0.8,0.9
"result.702",153357,NA,0.4
"result.703",153359,0.4,0.7
"result.704",153664,0.6,0.9
"result.705",153666,0.85,0.95
"result.706",153815,NA,0.65
"result.707",153945,0.85,0.95
"result.708",154004,0.45,0.7
"result.709",154266,NA,0.75
"result.710",154281,0.75,0.95
"result.711",154391,0.4,0.65
"result.712",154566,0.65,0.9
"result.713",154574,0.45,0.9
"result.714",155115,0.65,0.95
"result.715",155300,0.85,0.95
"result.716",155449,NA,0.65
"result.717",155624,0.45,0.9
"result.718",155701,0.55,0.85
"result.719",155958,NA,0.5
"result.720",156006,NA,0.55
"result.721",156168,0.6,0.9
"result.722",156202,NA,0.65
"result.723",156211,0.55,0.8
"result.724",156241,NA,0.55
"result.725",156700,NA,0.65
"result.726",156905,0.6,0.9
"result.727",157276,0.85,0.95
"result.728",157356,0.8,0.95
"result.729",157411,0.45,0.75
"result.730",158116,0.6,0.75
"result.731",158118,0.5,0.75
"result.732",158449,0.55,0.8
"result.733",158641,0.55,0.9
"result.734",158845,0.85,0.95
"result.735",158855,0.8,0.95
"result.736",158878,0.45,0.9
"result.737",158929,NA,0.75
"result.738",159082,0.85,0.95
"result.739",159409,0.4,0.8
"result.740",159581,0.8,0.95
"result.741",159682,NA,0.6
"result.742",160142,0.75,0.9
"result.743",160148,0.8,0.95
"result.744",160188,0.45,0.85
"result.745",160218,0.5,0.85
"result.746",160383,0.85,0.95
"result.747",160405,0.85,0.95
"result.748",160496,0.65,0.9
"result.749",160588,0.4,0.65
"result.750",161077,0.8,0.95
"result.751",161142,0.55,0.85
"result.752",161190,NA,0.6
"result.753",161219,NA,0.5
"result.754",161353,0.85,0.95
"result.755",161506,NA,0.75
"result.756",161663,0.85,0.95
"result.757",161684,0.7,0.9
"result.758",161701,0.75,0.9
"result.759",161751,0.5,0.85
"result.760",161779,NA,0.65
"result.761",161968,0.85,0.95
"result.762",162212,0.9,0.95
"result.763",162214,0.4,0.85
"result.764",162243,0.85,0.95
"result.765",162248,0.8,0.95
"result.766",162376,0.45,0.75
"result.767",162397,0.5,0.8
"result.768",162544,0.85,0.95
"result.769",162599,0.5,0.8
"result.770",162903,NA,0.75
"result.771",162905,0.7,0.95
"result.772",162908,0.65,0.9
"result.773",162999,NA,0.45
"result.774",163015,0.45,0.8
"result.775",163025,NA,0.75
"result.776",163149,0.4,0.85
"result.777",163154,0.9,0.95
"result.778",163444,0.9,0.95
"result.779",163462,0.8,0.95
"result.780",163903,0.5,0.85
"result.781",163952,0.5,0.8
"result.782",164008,0.4,0.7
"result.783",164186,0.55,0.9
"result.784",164208,NA,0.75
"result.785",164214,NA,0.7
"result.786",164228,NA,0.6
